2nd Level m.cycle,J2 Instances,J1 Instances,Dun Instances,Mean J2 Onsets,Mean J1 Onsets,Mean Dun Onsets,Virtual Onset,Parts,Comment,IOI,bpm,Smoothed bpm,cpm
2.2470000000000003,1,0,1,2.2470000000000003,,2.271,2.2590000000000003,1.0,,,,,
4.201666666,1,0,1,4.220333332999999,,4.201666666,4.2109999995,,,1.9519999995,122.9508197036247,122.9508197036247,30.737704925906176
6.140333333,1,0,1,6.129666665999999,,6.140333333,6.1349999995,,,1.9239999999999995,124.74012474012477,123.84547222187473,31.185031185031193
8.033666666,1,0,1,8.033666666,,8.020333333,8.0269999995,,,1.8919999999999995,126.8498942917548,124.8469462451681,31.7124735729387
9.911,1,0,0,9.911,,,9.911,,m,1.8840000005000004,127.3885349980391,126.32618467663956,31.847133749509776
11.753666666,1,0,1,11.753666666,,11.772333333,11.7629999995,,,1.8519999995000003,129.58963286436003,127.94268738471798,32.39740821609001
13.636333333,1,0,1,13.636333333,,13.652333333,13.644333332999999,,,1.8813333334999989,127.56909991782705,128.18242259340872,31.89227497945676
15.527,1,0,1,15.527,,15.527,15.527,,,1.8826666670000005,127.47875351850585,128.2124954335643,31.869688379626464
17.393666666,1,0,0,17.393666666,,,17.393666666,,m,1.8666666660000022,128.57142861734678,127.87309401789322,32.142857154336696
19.263,1,0,1,19.265666666,,19.263,19.264333333000003,,,1.8706666670000018,128.2965074611017,128.11556319898477,32.074126865275424
21.151,1,0,1,21.151,,21.156333333,21.1536666665,,,1.889333333499998,127.02893435717824,127.96562347854224,31.75723358929456
22.999,1,1,1,22.999,22.975,23.007,22.99366666666667,,,1.8400000001666683,130.43478259688078,128.58674147172025,32.608695649220195
24.873666666,1,0,1,24.873666666,,24.887,24.880333333,,,1.8866666663333298,127.20848058784625,128.22406584730174,31.802120146961563
26.769666666,1,0,1,26.761666666,,26.769666666,26.765666666,,,1.885333333000002,127.29844415263396,128.313902445787,31.82461103815849
28.620333333,1,0,0,28.620333333,,,28.620333333,,m,1.854666667,129.4033069501432,127.97007723020779,32.3508267375358
30.441666666,1,1,0,30.441666666,30.415,,30.428333332999998,,,1.8079999999999963,132.7433628318587,129.81503797821196,33.18584070796467
32.332333333,1,0,1,32.335,,32.332333333,32.3336666665,,,1.9053333335000033,125.96221132558041,129.36962703586076,31.490552831395103
34.207,1,0,1,34.185666666,,34.207,34.196333333,,,1.8626666664999973,128.84753043386272,129.1843681971006,32.21188260846568
36.055,1,0,1,36.055,,36.068333333,36.0616666665,,,1.8653333335000042,128.66333093918277,127.82435756620862,32.16583273479569
37.897666666,1,1,1,37.887,37.873666666,37.897666666,37.88611111066666,,,1.8244444441666587,131.54689405169773,129.6859184749144,32.88672351292443
39.759,1,0,1,39.759,,39.767,39.763000000000005,,,1.876888889333344,127.87118159415718,129.36046886167924,31.967795398539295
41.612333333,1,0,1,41.612333333,,41.623,41.6176666665,,,1.8546666664999947,129.40330698502942,129.60712754362814,32.350826746257354
43.497666666,1,0,1,43.479,,43.497666666,43.488333333,,,1.8706666665,128.29650749539348,128.52366535819337,32.07412687384837
45.345666666,1,0,0,45.345666666,,,45.345666666,,m,1.8573333329999997,129.21751617538004,128.9724435519343,32.30437904384501
47.119,1,0,1,47.116333333,,47.119,47.1176666665,,,1.7720000005000003,135.44018054869068,130.98473473982142,33.86004513717267
48.985666666,1,1,1,48.985666666,48.959,49.004333333,48.98299999966667,,,1.8653333331666673,128.66333096217502,131.10700922874858,32.165832740543756
50.855,1,0,1,50.855,,50.871,50.863,,,1.8800000003333324,127.6595744454505,130.58769531877206,31.914893611362626
52.705666666,1,0,1,52.689666666,,52.705666666,52.697666666,,,1.834666666000004,130.81395353590594,129.0456196478438,32.703488383976484
54.551,1,0,1,54.553666666,,54.551,54.552333333,,,1.8546666669999965,129.40330695014345,129.29227831049994,32.35082673753586
56.375,1,0,1,56.375,,56.399,56.387,,,1.8346666670000005,130.813953464605,130.34373798355145,32.70348836615125
